"";"id";"land";"sea";"type";"ISO3i";"ISO3j"
"1";"ABW_COL";FALSE;TRUE;"sea";"ABW";"COL"
"2";"ABW_CUW";FALSE;TRUE;"sea";"ABW";"CUW"
"3";"ABW_DOM";FALSE;TRUE;"sea";"ABW";"DOM"
"4";"ABW_VEN";FALSE;TRUE;"sea";"ABW";"VEN"
"5";"AFG_CHN";TRUE;FALSE;"land";"AFG";"CHN"
"6";"AFG_IRN";TRUE;FALSE;"land";"AFG";"IRN"
"7";"AFG_PAK";TRUE;FALSE;"land";"AFG";"PAK"
"8";"AFG_TJK";TRUE;FALSE;"land";"AFG";"TJK"
"9";"AFG_TKM";TRUE;FALSE;"land";"AFG";"TKM"
"10";"AFG_UZB";TRUE;FALSE;"land";"AFG";"UZB"
"11";"AGO_COD";TRUE;TRUE;"hybrid";"AGO";"COD"
"12";"AGO_COG";TRUE;TRUE;"hybrid";"AGO";"COG"
"13";"AGO_NAM";TRUE;TRUE;"hybrid";"AGO";"NAM"
"14";"AGO_ZMB";TRUE;FALSE;"land";"AGO";"ZMB"
"15";"ALA_EST";FALSE;TRUE;"sea";"ALA";"EST"
"16";"ALA_FIN";FALSE;TRUE;"sea";"ALA";"FIN"
"17";"ALB_GRC";TRUE;TRUE;"hybrid";"ALB";"GRC"
"18";"ALB_ITA";FALSE;TRUE;"sea";"ALB";"ITA"
"19";"ALB_MKD";TRUE;FALSE;"land";"ALB";"MKD"
"20";"ALB_MNE";TRUE;TRUE;"hybrid";"ALB";"MNE"
"21";"ALB_XKO";TRUE;FALSE;"land";"ALB";"XKO"
"22";"AND_ESP";TRUE;FALSE;"land";"AND";"ESP"
"23";"AND_FRA";TRUE;FALSE;"land";"AND";"FRA"
"24";"ARE_IRN";FALSE;TRUE;"sea";"ARE";"IRN"
"25";"ARE_OMN";TRUE;TRUE;"hybrid";"ARE";"OMN"
"26";"ARE_QAT";FALSE;TRUE;"sea";"ARE";"QAT"
"27";"ARE_SAU";TRUE;TRUE;"hybrid";"ARE";"SAU"
"28";"ARG_BOL";TRUE;FALSE;"land";"ARG";"BOL"
"29";"ARG_BRA";TRUE;FALSE;"land";"ARG";"BRA"
"30";"ARG_CHL";TRUE;TRUE;"hybrid";"ARG";"CHL"
"31";"ARG_FLK";FALSE;TRUE;"sea";"ARG";"FLK"
"32";"ARG_PRY";TRUE;FALSE;"land";"ARG";"PRY"
"33";"ARG_URY";TRUE;TRUE;"hybrid";"ARG";"URY"
"34";"ARM_AZE";TRUE;FALSE;"land";"ARM";"AZE"
"35";"ARM_GEO";TRUE;FALSE;"land";"ARM";"GEO"
"36";"ARM_IRN";TRUE;FALSE;"land";"ARM";"IRN"
"37";"ARM_TUR";TRUE;FALSE;"land";"ARM";"TUR"
"38";"ATF_HMD";FALSE;TRUE;"sea";"ATF";"HMD"
"39";"AUS_IDN";FALSE;TRUE;"sea";"AUS";"IDN"
"40";"AUS_PNG";TRUE;TRUE;"hybrid";"AUS";"PNG"
"41";"AUS_TLS";FALSE;TRUE;"sea";"AUS";"TLS"
"42";"AUT_CHE";TRUE;FALSE;"land";"AUT";"CHE"
"43";"AUT_CZE";TRUE;FALSE;"land";"AUT";"CZE"
"44";"AUT_DEU";TRUE;FALSE;"land";"AUT";"DEU"
"45";"AUT_HUN";TRUE;FALSE;"land";"AUT";"HUN"
"46";"AUT_ITA";TRUE;FALSE;"land";"AUT";"ITA"
"47";"AUT_LIE";TRUE;FALSE;"land";"AUT";"LIE"
"48";"AUT_SVK";TRUE;FALSE;"land";"AUT";"SVK"
"49";"AUT_SVN";TRUE;FALSE;"land";"AUT";"SVN"
"50";"AZE_ARM";TRUE;FALSE;"land";"AZE";"ARM"
"51";"AZE_GEO";TRUE;FALSE;"land";"AZE";"GEO"
"52";"AZE_IRN";TRUE;FALSE;"land";"AZE";"IRN"
"53";"AZE_RUS";TRUE;FALSE;"land";"AZE";"RUS"
"54";"AZE_TUR";TRUE;FALSE;"land";"AZE";"TUR"
"55";"AZE_XCA";TRUE;FALSE;"land";"AZE";"XCA"
"56";"BDI_COD";TRUE;FALSE;"land";"BDI";"COD"
"57";"BDI_RWA";TRUE;FALSE;"land";"BDI";"RWA"
"58";"BDI_TZA";TRUE;FALSE;"land";"BDI";"TZA"
"59";"BEL_DEU";TRUE;FALSE;"land";"BEL";"DEU"
"60";"BEL_FRA";TRUE;TRUE;"hybrid";"BEL";"FRA"
"61";"BEL_GBR";FALSE;TRUE;"sea";"BEL";"GBR"
"62";"BEL_LUX";TRUE;FALSE;"land";"BEL";"LUX"
"63";"BEL_NLD";TRUE;TRUE;"hybrid";"BEL";"NLD"
"64";"BEN_BFA";TRUE;FALSE;"land";"BEN";"BFA"
"65";"BEN_GHA";FALSE;TRUE;"sea";"BEN";"GHA"
"66";"BEN_NER";TRUE;FALSE;"land";"BEN";"NER"
"67";"BEN_NGA";TRUE;TRUE;"hybrid";"BEN";"NGA"
"68";"BEN_TGO";TRUE;TRUE;"hybrid";"BEN";"TGO"
"69";"BFA_BEN";TRUE;FALSE;"land";"BFA";"BEN"
"70";"BFA_CIV";TRUE;FALSE;"land";"BFA";"CIV"
"71";"BFA_GHA";TRUE;FALSE;"land";"BFA";"GHA"
"72";"BFA_MLI";TRUE;FALSE;"land";"BFA";"MLI"
"73";"BFA_NER";TRUE;FALSE;"land";"BFA";"NER"
"74";"BFA_TGO";TRUE;FALSE;"land";"BFA";"TGO"
"75";"BGD_IND";TRUE;TRUE;"hybrid";"BGD";"IND"
"76";"BGD_MMR";TRUE;TRUE;"hybrid";"BGD";"MMR"
"77";"BGR_GRC";TRUE;FALSE;"land";"BGR";"GRC"
"78";"BGR_MKD";TRUE;FALSE;"land";"BGR";"MKD"
"79";"BGR_ROU";TRUE;TRUE;"hybrid";"BGR";"ROU"
"80";"BGR_SRB";TRUE;FALSE;"land";"BGR";"SRB"
"81";"BGR_TUR";TRUE;TRUE;"hybrid";"BGR";"TUR"
"82";"BGR_UKR";FALSE;TRUE;"sea";"BGR";"UKR"
"83";"BHR_IRN";FALSE;TRUE;"sea";"BHR";"IRN"
"84";"BHR_QAT";FALSE;TRUE;"sea";"BHR";"QAT"
"85";"BHR_SAU";TRUE;TRUE;"hybrid";"BHR";"SAU"
"86";"BHS_CUB";FALSE;TRUE;"sea";"BHS";"CUB"
"87";"BHS_DOM";FALSE;TRUE;"sea";"BHS";"DOM"
"88";"BHS_HTI";FALSE;TRUE;"sea";"BHS";"HTI"
"89";"BHS_TCA";FALSE;TRUE;"sea";"BHS";"TCA"
"90";"BHS_USA";FALSE;TRUE;"sea";"BHS";"USA"
"91";"BIH_HRV";TRUE;TRUE;"hybrid";"BIH";"HRV"
"92";"BIH_MNE";TRUE;TRUE;"hybrid";"BIH";"MNE"
"93";"BIH_SRB";TRUE;FALSE;"land";"BIH";"SRB"
"94";"BLR_LTU";TRUE;FALSE;"land";"BLR";"LTU"
"95";"BLR_LVA";TRUE;FALSE;"land";"BLR";"LVA"
"96";"BLR_POL";TRUE;FALSE;"land";"BLR";"POL"
"97";"BLR_RUS";TRUE;FALSE;"land";"BLR";"RUS"
"98";"BLR_UKR";TRUE;FALSE;"land";"BLR";"UKR"
"99";"BLZ_GTM";TRUE;TRUE;"hybrid";"BLZ";"GTM"
"100";"BLZ_MEX";TRUE;TRUE;"hybrid";"BLZ";"MEX"
"101";"BOL_ARG";TRUE;FALSE;"land";"BOL";"ARG"
"102";"BOL_BRA";TRUE;FALSE;"land";"BOL";"BRA"
"103";"BOL_CHL";TRUE;FALSE;"land";"BOL";"CHL"
"104";"BOL_PER";TRUE;FALSE;"land";"BOL";"PER"
"105";"BOL_PRY";TRUE;FALSE;"land";"BOL";"PRY"
"106";"BRA_ARG";TRUE;FALSE;"land";"BRA";"ARG"
"107";"BRA_BOL";TRUE;FALSE;"land";"BRA";"BOL"
"108";"BRA_COL";TRUE;FALSE;"land";"BRA";"COL"
"109";"BRA_GUF";TRUE;TRUE;"hybrid";"BRA";"GUF"
"110";"BRA_GUY";TRUE;FALSE;"land";"BRA";"GUY"
"111";"BRA_PER";TRUE;FALSE;"land";"BRA";"PER"
"112";"BRA_PRY";TRUE;FALSE;"land";"BRA";"PRY"
"113";"BRA_SUR";TRUE;FALSE;"land";"BRA";"SUR"
"114";"BRA_URY";TRUE;TRUE;"hybrid";"BRA";"URY"
"115";"BRA_VEN";TRUE;FALSE;"land";"BRA";"VEN"
"116";"BRN_MYS";TRUE;TRUE;"hybrid";"BRN";"MYS"
"117";"BTN_CHN";TRUE;FALSE;"land";"BTN";"CHN"
"118";"BTN_IND";TRUE;FALSE;"land";"BTN";"IND"
"119";"BWA_NAM";TRUE;FALSE;"land";"BWA";"NAM"
"120";"BWA_ZAF";TRUE;FALSE;"land";"BWA";"ZAF"
"121";"BWA_ZMB";TRUE;FALSE;"land";"BWA";"ZMB"
"122";"BWA_ZWE";TRUE;FALSE;"land";"BWA";"ZWE"
"123";"CAF_CMR";TRUE;FALSE;"land";"CAF";"CMR"
"124";"CAF_COD";TRUE;FALSE;"land";"CAF";"COD"
"125";"CAF_COG";TRUE;FALSE;"land";"CAF";"COG"
"126";"CAF_SDN";TRUE;FALSE;"land";"CAF";"SDN"
"127";"CAF_SSD";TRUE;FALSE;"land";"CAF";"SSD"
"128";"CAF_TCD";TRUE;FALSE;"land";"CAF";"TCD"
"129";"CAN_GRL";FALSE;TRUE;"sea";"CAN";"GRL"
"130";"CAN_SPM";FALSE;TRUE;"sea";"CAN";"SPM"
"131";"CAN_USA";TRUE;TRUE;"hybrid";"CAN";"USA"
"132";"CHE_AUT";TRUE;FALSE;"land";"CHE";"AUT"
"133";"CHE_DEU";TRUE;FALSE;"land";"CHE";"DEU"
"134";"CHE_FRA";TRUE;FALSE;"land";"CHE";"FRA"
"135";"CHE_ITA";TRUE;FALSE;"land";"CHE";"ITA"
"136";"CHE_LIE";TRUE;FALSE;"land";"CHE";"LIE"
"137";"CHL_ARG";TRUE;TRUE;"hybrid";"CHL";"ARG"
"138";"CHL_BOL";TRUE;FALSE;"land";"CHL";"BOL"
"139";"CHL_PER";TRUE;TRUE;"hybrid";"CHL";"PER"
"140";"CHN_AFG";TRUE;FALSE;"land";"CHN";"AFG"
"141";"CHN_BTN";TRUE;FALSE;"land";"CHN";"BTN"
"142";"CHN_HKG";TRUE;TRUE;"hybrid";"CHN";"HKG"
"143";"CHN_IND";TRUE;FALSE;"land";"CHN";"IND"
"144";"CHN_JPN";FALSE;TRUE;"sea";"CHN";"JPN"
"145";"CHN_KAZ";TRUE;FALSE;"land";"CHN";"KAZ"
"146";"CHN_KGZ";TRUE;FALSE;"land";"CHN";"KGZ"
"147";"CHN_KOR";FALSE;TRUE;"sea";"CHN";"KOR"
"148";"CHN_LAO";TRUE;FALSE;"land";"CHN";"LAO"
"149";"CHN_MAC";TRUE;TRUE;"hybrid";"CHN";"MAC"
"150";"CHN_MMR";TRUE;FALSE;"land";"CHN";"MMR"
"151";"CHN_MNG";TRUE;FALSE;"land";"CHN";"MNG"
"152";"CHN_NPL";TRUE;FALSE;"land";"CHN";"NPL"
"153";"CHN_PAK";TRUE;FALSE;"land";"CHN";"PAK"
"154";"CHN_PRK";TRUE;TRUE;"hybrid";"CHN";"PRK"
"155";"CHN_RUS";TRUE;FALSE;"land";"CHN";"RUS"
"156";"CHN_TJK";TRUE;FALSE;"land";"CHN";"TJK"
"157";"CHN_TWN";FALSE;TRUE;"sea";"CHN";"TWN"
"158";"CHN_VNM";TRUE;TRUE;"hybrid";"CHN";"VNM"
"159";"CIV_BFA";TRUE;FALSE;"land";"CIV";"BFA"
"160";"CIV_GHA";TRUE;TRUE;"hybrid";"CIV";"GHA"
"161";"CIV_GIN";TRUE;FALSE;"land";"CIV";"GIN"
"162";"CIV_LBR";TRUE;TRUE;"hybrid";"CIV";"LBR"
"163";"CIV_MLI";TRUE;FALSE;"land";"CIV";"MLI"
"164";"CMR_CAF";TRUE;FALSE;"land";"CMR";"CAF"
"165";"CMR_COG";TRUE;FALSE;"land";"CMR";"COG"
"166";"CMR_GAB";TRUE;FALSE;"land";"CMR";"GAB"
"167";"CMR_GNQ";TRUE;TRUE;"hybrid";"CMR";"GNQ"
"168";"CMR_NGA";TRUE;TRUE;"hybrid";"CMR";"NGA"
"169";"CMR_TCD";TRUE;FALSE;"land";"CMR";"TCD"
"170";"COD_AGO";TRUE;TRUE;"hybrid";"COD";"AGO"
"171";"COD_BDI";TRUE;FALSE;"land";"COD";"BDI"
"172";"COD_CAF";TRUE;FALSE;"land";"COD";"CAF"
"173";"COD_COG";TRUE;TRUE;"hybrid";"COD";"COG"
"174";"COD_RWA";TRUE;FALSE;"land";"COD";"RWA"
"175";"COD_SSD";TRUE;FALSE;"land";"COD";"SSD"
"176";"COD_TZA";TRUE;FALSE;"land";"COD";"TZA"
"177";"COD_UGA";TRUE;FALSE;"land";"COD";"UGA"
"178";"COD_ZMB";TRUE;FALSE;"land";"COD";"ZMB"
"179";"COG_AGO";TRUE;TRUE;"hybrid";"COG";"AGO"
"180";"COG_CAF";TRUE;FALSE;"land";"COG";"CAF"
"181";"COG_CMR";TRUE;FALSE;"land";"COG";"CMR"
"182";"COG_COD";TRUE;TRUE;"hybrid";"COG";"COD"
"183";"COG_GAB";TRUE;TRUE;"hybrid";"COG";"GAB"
"184";"COL_ABW";FALSE;TRUE;"sea";"COL";"ABW"
"185";"COL_BRA";TRUE;FALSE;"land";"COL";"BRA"
"186";"COL_DOM";FALSE;TRUE;"sea";"COL";"DOM"
"187";"COL_ECU";TRUE;TRUE;"hybrid";"COL";"ECU"
"188";"COL_HTI";FALSE;TRUE;"sea";"COL";"HTI"
"189";"COL_JAM";FALSE;TRUE;"sea";"COL";"JAM"
"190";"COL_PAN";TRUE;TRUE;"hybrid";"COL";"PAN"
"191";"COL_PER";TRUE;FALSE;"land";"COL";"PER"
"192";"COL_VEN";TRUE;TRUE;"hybrid";"COL";"VEN"
"193";"COM_MDG";FALSE;TRUE;"sea";"COM";"MDG"
"194";"COM_MOZ";FALSE;TRUE;"sea";"COM";"MOZ"
"195";"COM_MYT";FALSE;TRUE;"sea";"COM";"MYT"
"196";"COM_TZA";FALSE;TRUE;"sea";"COM";"TZA"
"197";"CPV_MRT";FALSE;TRUE;"sea";"CPV";"MRT"
"198";"CPV_SEN";FALSE;TRUE;"sea";"CPV";"SEN"
"199";"CRI_NIC";TRUE;TRUE;"hybrid";"CRI";"NIC"
"200";"CRI_PAN";TRUE;TRUE;"hybrid";"CRI";"PAN"
"201";"CRI_SLV";FALSE;TRUE;"sea";"CRI";"SLV"
"202";"CUB_BHS";FALSE;TRUE;"sea";"CUB";"BHS"
"203";"CUB_CYM";FALSE;TRUE;"sea";"CUB";"CYM"
"204";"CUB_HTI";FALSE;TRUE;"sea";"CUB";"HTI"
"205";"CUB_JAM";FALSE;TRUE;"sea";"CUB";"JAM"
"206";"CUB_MEX";FALSE;TRUE;"sea";"CUB";"MEX"
"207";"CUB_USA";FALSE;TRUE;"sea";"CUB";"USA"
"208";"CUW_ABW";FALSE;TRUE;"sea";"CUW";"ABW"
"209";"CUW_DOM";FALSE;TRUE;"sea";"CUW";"DOM"
"210";"CUW_PRI";FALSE;TRUE;"sea";"CUW";"PRI"
"211";"CUW_VEN";FALSE;TRUE;"sea";"CUW";"VEN"
"212";"CYM_CUB";FALSE;TRUE;"sea";"CYM";"CUB"
"213";"CYM_HND";FALSE;TRUE;"sea";"CYM";"HND"
"214";"CYM_JAM";FALSE;TRUE;"sea";"CYM";"JAM"
"215";"CYM_MEX";FALSE;TRUE;"sea";"CYM";"MEX"
"216";"CYP_EGY";FALSE;TRUE;"sea";"CYP";"EGY"
"217";"CYP_GRC";FALSE;TRUE;"sea";"CYP";"GRC"
"218";"CYP_LBN";FALSE;TRUE;"sea";"CYP";"LBN"
"219";"CYP_TUR";FALSE;TRUE;"sea";"CYP";"TUR"
"220";"CYP_XAD";TRUE;TRUE;"hybrid";"CYP";"XAD"
"221";"CYP_XNC";TRUE;TRUE;"hybrid";"CYP";"XNC"
"222";"CZE_AUT";TRUE;FALSE;"land";"CZE";"AUT"
"223";"CZE_DEU";TRUE;FALSE;"land";"CZE";"DEU"
"224";"CZE_POL";TRUE;FALSE;"land";"CZE";"POL"
"225";"CZE_SVK";TRUE;FALSE;"land";"CZE";"SVK"
"226";"DEU_AUT";TRUE;FALSE;"land";"DEU";"AUT"
"227";"DEU_BEL";TRUE;FALSE;"land";"DEU";"BEL"
"228";"DEU_CHE";TRUE;FALSE;"land";"DEU";"CHE"
"229";"DEU_CZE";TRUE;FALSE;"land";"DEU";"CZE"
"230";"DEU_DNK";TRUE;TRUE;"hybrid";"DEU";"DNK"
"231";"DEU_FRA";TRUE;FALSE;"land";"DEU";"FRA"
"232";"DEU_LUX";TRUE;FALSE;"land";"DEU";"LUX"
"233";"DEU_NLD";TRUE;TRUE;"hybrid";"DEU";"NLD"
"234";"DEU_POL";TRUE;TRUE;"hybrid";"DEU";"POL"
"235";"DEU_SWE";FALSE;TRUE;"sea";"DEU";"SWE"
"236";"DJI_ERI";TRUE;FALSE;"land";"DJI";"ERI"
"237";"DJI_ETH";TRUE;FALSE;"land";"DJI";"ETH"
"238";"DJI_SOM";TRUE;TRUE;"hybrid";"DJI";"SOM"
"239";"DJI_YEM";FALSE;TRUE;"sea";"DJI";"YEM"
"240";"DMA_GLP";FALSE;TRUE;"sea";"DMA";"GLP"
